,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2025-09-26,1.009,1.019,0.995,0.995,67355100.0,67953861.0
2025-09-29,0.997,1.007,0.988,1.005,29859500.0,29898184.0
2025-09-30,1.007,1.024,1.007,1.02,82546700.0,84164645.0
2025-10-09,1.02,1.041,1.02,1.028,62475400.0,64559691.0
2025-10-10,1.024,1.024,0.991,0.996,27215600.0,27392325.0
2025-10-13,0.976,1.0,0.965,0.997,12043300.0,11872012.0
2025-10-14,0.999,1.013,0.959,0.961,17333900.0,17160083.0
2025-10-15,0.962,0.98,0.95,0.98,11115800.0,10770690.0
2025-10-16,0.979,0.983,0.964,0.969,5331600.0,5196702.0
2025-10-17,0.969,0.969,0.925,0.926,12119900.0,11418045.0
2025-10-20,0.932,0.954,0.932,0.939,5514700.0,5201481.0
2025-10-21,0.948,0.966,0.941,0.963,16925200.0,16194531.0
2025-10-22,0.963,0.966,0.952,0.96,4890300.0,4699708.0
2025-10-23,0.955,0.956,0.933,0.952,7458000.0,7007755.0
2025-10-24,0.961,0.983,0.959,0.982,18828000.0,18368757.0
2025-10-27,0.99,1.007,0.986,0.999,25039100.0,24976615.0
2025-10-28,0.998,1.007,0.988,0.994,11911600.0,11908167.0
2025-10-29,0.995,1.002,0.988,1.001,6394000.0,6367005.0
2025-10-30,1.0,1.0,0.982,0.982,10525000.0,10422016.0
2025-10-31,0.982,0.995,0.974,0.984,6162400.0,6076239.0
2025-11-03,0.993,0.993,0.96,0.982,8358600.0,8137849.0
2025-11-04,0.973,0.979,0.955,0.962,7638400.0,7373662.0
2025-11-05,0.954,0.963,0.943,0.961,6383200.0,6065284.0
2025-11-06,0.953,0.975,0.953,0.975,6672700.0,6475396.0
2025-11-07,0.966,0.98,0.962,0.972,5995000.0,5828535.0
2025-11-10,0.972,0.982,0.963,0.975,9975600.0,9671384.0
2025-11-11,0.975,0.986,0.968,0.97,7139400.0,6977067.0
2025-11-12,0.97,0.971,0.954,0.966,7819500.0,7515014.0
2025-11-13,0.964,0.987,0.964,0.98,13398900.0,13098430.0
2025-11-14,0.98,0.98,0.958,0.962,9366500.0,9065649.0
2025-11-17,0.967,0.973,0.958,0.963,5056600.0,4878815.0
