,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2025-10-10,0.998,0.998,0.975,0.98,80920072.0,80038434.0
2025-10-13,0.942,0.968,0.942,0.964,35177707.0,33744398.0
2025-10-14,0.97,0.98,0.947,0.953,19845208.0,19095989.0
2025-10-15,0.959,0.97,0.954,0.97,26431017.0,25433639.0
2025-10-16,0.97,0.974,0.961,0.964,13673904.0,13220690.0
2025-10-17,0.966,0.966,0.942,0.943,15899672.0,15095643.0
2025-10-20,0.96,0.967,0.958,0.961,19639687.0,18918825.0
2025-10-21,0.97,0.987,0.97,0.982,31783146.000000004,31188963.0
2025-10-22,0.979,0.979,0.961,0.965,16581412.0,16014252.0
2025-10-23,0.962,0.975,0.957,0.973,14698001.0,14172733.0
2025-10-24,0.977,0.983,0.976,0.978,12237840.0,11978615.0
2025-10-27,0.991,0.994,0.987,0.993,28043518.0,27795165.0
2025-10-28,0.993,0.995,0.984,0.984,14434295.000000002,14273840.0
2025-10-29,0.985,0.991,0.985,0.99,14305591.0,14132057.0
2025-10-30,0.99,0.994,0.978,0.981,24109385.0,23817647.0
2025-10-31,0.981,0.982,0.97,0.972,9915982.0,9672678.0
2025-11-03,0.975,0.977,0.967,0.975,13188426.999999998,12825453.0
2025-11-04,0.973,0.98,0.964,0.967,13453949.0,13085248.0
2025-11-05,0.964,0.965,0.95,0.963,15297881.0,14657327.0
2025-11-06,0.965,0.982,0.965,0.981,16497450.0,16117450.0
2025-11-07,0.98,0.98,0.971,0.973,9203476.0,8971561.0
2025-11-10,0.973,0.989,0.973,0.989,25658605.0,25205226.0
2025-11-11,0.99,0.994,0.982,0.985,14343004.999999998,14146325.0
2025-11-12,0.985,0.998,0.985,0.994,45454104.0,45177142.0
2025-11-13,0.991,1.007,0.988,1.002,51514956.0,51458929.0
2025-11-14,0.988,0.995,0.983,0.984,13274185.999999998,13113861.0
2025-11-17,0.985,0.985,0.971,0.974,11329100.0,11061234.0
