,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2025-09-02,1.027,1.03,0.992,1.005,226535245.00000003,230816988.0
2025-09-03,1.005,1.013,0.996,0.998,37205422.0,37420663.0
2025-09-04,0.998,1.013,0.963,0.97,41520763.0,41239909.0
2025-09-05,0.977,1.021,0.973,1.018,75929337.0,76374191.0
2025-09-08,1.018,1.024,1.007,1.021,38436214.0,39148434.0
2025-09-09,1.011,1.02,1.003,1.008,13983712.0,14151895.0
2025-09-10,1.008,1.02,1.005,1.012,19563870.0,19841027.0
2025-09-11,1.018,1.047,1.006,1.046,56842221.0,58701321.0
2025-09-12,1.045,1.052,1.039,1.041,23984961.0,25093796.0
2025-09-15,1.041,1.06,1.041,1.051,22868496.0,24100667.0
2025-09-16,1.051,1.063,1.043,1.061,14097673.000000002,14838042.0
2025-09-17,1.061,1.079,1.056,1.076,15304960.999999998,16369598.0
2025-09-18,1.076,1.083,1.045,1.058,15095554.999999998,16167279.0
2025-09-19,1.058,1.067,1.053,1.057,10343370.0,10972762.0
2025-09-22,1.057,1.062,1.047,1.06,12553120.0,13254828.0
2025-09-23,1.06,1.068,1.037,1.057,17359282.0,18246623.0
2025-09-24,1.051,1.077,1.047,1.075,13927914.000000002,14860406.0
2025-09-25,1.075,1.093,1.071,1.082,12867270.0,13961441.0
2025-09-26,1.082,1.083,1.061,1.061,7860538.0,8443853.0
2025-09-29,1.06,1.085,1.06,1.082,9037951.0,9732627.0
2025-09-30,1.082,1.088,1.075,1.079,6978230.0,7551070.0
2025-10-09,1.081,1.1,1.078,1.088,6476247.0,7071883.0
2025-10-10,1.078,1.086,1.061,1.068,7109831.0,7639972.0
2025-10-13,1.054,1.058,1.025,1.056,5110838.0,5349634.0
2025-10-14,1.048,1.069,1.028,1.034,6480145.0,6778262.0
2025-10-15,1.031,1.056,1.024,1.056,7604324.000000001,7951952.0
2025-10-16,1.056,1.061,1.046,1.049,8407965.0,8857546.0
2025-10-17,1.042,1.053,1.029,1.031,11514223.0,11897197.0
2025-10-20,1.031,1.056,1.031,1.039,6032093.0,6294941.0
2025-10-21,1.038,1.066,1.038,1.061,8026948.0,8505075.0
2025-10-22,1.056,1.064,1.053,1.055,6638131.0,7019542.0
2025-10-23,1.049,1.056,1.039,1.055,5235419.0,5472993.0
2025-10-24,1.06,1.083,1.06,1.082,10396878.0,11193196.0
2025-10-27,1.084,1.102,1.083,1.098,13496939.000000002,14793466.0
2025-10-28,1.094,1.109,1.093,1.101,8093191.0,8911605.0
2025-10-29,1.11,1.113,1.099,1.113,5737632.0,6348251.0
2025-10-30,1.107,1.11,1.092,1.092,5918818.0,6512914.0
2025-10-31,1.091,1.1,1.081,1.081,5249905.0,5707436.0
2025-11-03,1.08,1.089,1.069,1.089,4393808.0,4746257.0
2025-11-04,1.084,1.086,1.062,1.069,2989529.0,3202619.0
2025-11-05,1.059,1.082,1.056,1.08,5204026.0,5580124.0
2025-11-06,1.08,1.094,1.08,1.092,3964403.0,4321504.0
2025-11-07,1.084,1.094,1.083,1.085,1748014.0,1899934.0
2025-11-10,1.075,1.095,1.072,1.081,2966864.0,3192307.0
2025-11-11,1.081,1.091,1.073,1.075,2057813.0,2219549.0
2025-11-12,1.07,1.075,1.062,1.073,1715041.9999999998,1834616.0
2025-11-13,1.064,1.09,1.064,1.088,5650975.0,6132318.0
2025-11-14,1.078,1.085,1.072,1.072,1165312.0,1257793.0
2025-11-17,1.072,1.073,1.064,1.071,2498125.0,2669236.0
