,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2024-05-27,0.981,1.005,0.98,1.004,131585324.0,131380741.00000001
2024-05-28,1.005,1.024,1.002,1.003,75041412.0,75971559.0
2024-05-29,1.002,1.03,1.002,1.02,36636434.0,37433486.0
2024-05-30,1.018,1.018,0.975,0.98,10501928.0,10395339.0
2024-05-31,0.98,0.995,0.977,0.986,6088457.0,6012586.0
2024-06-03,0.986,0.986,0.956,0.963,10044904.0,9680003.0
2024-06-04,0.968,0.986,0.964,0.982,6143201.0,5997048.0
2024-06-05,0.972,0.972,0.954,0.96,12776552.0,12277240.0
2024-06-06,0.964,0.99,0.964,0.981,11538652.0,11321691.0
2024-06-07,0.984,0.993,0.971,0.985,4034800.0,3969765.0
2024-06-11,0.95,0.952,0.937,0.945,11444431.0,10787192.0
2024-06-12,0.945,0.96,0.944,0.956,5492700.0,5230042.0
2024-06-13,0.957,0.957,0.928,0.939,9948915.0,9308757.0
2024-06-14,0.937,0.942,0.929,0.938,5029000.0,4715857.0
2024-06-17,0.94,0.943,0.927,0.928,8104435.000000001,7545155.0
2024-06-18,0.927,0.939,0.919,0.933,7123377.0,6654484.0
2024-06-19,0.929,0.956,0.929,0.947,12366061.0,11742618.0
2024-06-20,0.947,0.963,0.941,0.949,3698600.0,3523322.0
2024-06-21,0.951,0.967,0.948,0.95,3955306.0,3774340.0
2024-06-24,0.943,0.943,0.927,0.929,2588516.0,2411273.0
2024-06-25,0.928,0.94,0.926,0.93,6546913.0,6117257.0
2024-06-26,0.927,0.927,0.913,0.926,7188361.0,6624907.0
2024-06-27,0.92,0.92,0.903,0.904,4074000.0,3702633.0
2024-06-28,0.905,0.933,0.905,0.929,6933232.000000001,6389466.0
2024-07-01,0.93,0.948,0.93,0.948,6825017.0,6410232.0
2024-07-02,0.949,0.953,0.938,0.943,1250331.0,1179132.0
2024-07-03,0.943,0.945,0.935,0.942,1640300.0,1540571.0
2024-07-04,0.943,0.97,0.943,0.948,3174705.0,3044647.0
2024-07-05,0.948,0.986,0.944,0.986,10317389.0,10045152.0
2024-07-08,0.989,1.003,0.977,0.981,14889878.0,14791269.0
2024-07-09,0.985,0.999,0.975,0.997,5113213.0,5045985.0
2024-07-10,0.996,1.005,0.979,0.984,8741507.0,8661622.0
2024-07-11,1.0,1.012,0.985,1.009,7650413.0,7680791.0
2024-07-12,1.015,1.027,0.982,0.99,10632531.0,10589754.0
2024-07-15,0.997,1.011,0.985,1.005,7355639.0,7386250.0
2024-07-16,1.003,1.031,0.999,1.029,12881180.0,13160806.0
2024-07-17,1.05,1.065,1.015,1.02,8259796.000000001,8524680.0
2024-07-18,1.019,1.019,0.996,1.018,5039937.0,5080975.0
2024-07-19,0.988,0.998,0.973,0.99,4310808.0,4248062.0
2024-07-22,0.985,0.985,0.962,0.976,9034300.0,8763506.0
2024-07-23,0.98,0.98,0.934,0.934,8270600.0,7858267.0
2024-07-24,0.935,0.942,0.931,0.939,2652600.0,2486613.0
2024-07-25,0.934,0.934,0.89,0.895,10641300.0,9560961.0
2024-07-26,0.895,0.908,0.888,0.906,7827600.0,7065915.0
2024-07-29,0.91,0.923,0.907,0.913,2238400.0,2046330.0
2024-07-30,0.913,0.913,0.899,0.911,4968036.0,4495911.0
2024-07-31,0.908,0.947,0.908,0.943,10447007.0,9756102.0
2024-08-01,0.963,0.965,0.939,0.947,7430844.0,7066854.0
2024-08-02,0.942,0.945,0.924,0.94,3701100.0,3450848.0
2024-08-05,0.95,0.95,0.909,0.911,7661400.0,7016913.0
2024-08-06,0.909,0.918,0.889,0.899,6545100.0,5887051.0
2024-08-07,0.899,0.907,0.89,0.901,4686412.0,4217411.0
2024-08-08,0.908,0.908,0.88,0.89,3311200.0,2938536.0
2024-08-09,0.895,0.909,0.895,0.897,7159900.0,6463011.0
2024-08-12,0.907,0.907,0.89,0.896,5267800.0,4710843.0
2024-08-13,0.9,0.913,0.897,0.901,9312705.0,8423074.0
2024-08-14,0.902,0.905,0.894,0.895,6919052.0,6217489.0
2024-08-15,0.895,0.9,0.882,0.896,4768400.0,4247823.0
2024-08-16,0.9,0.907,0.887,0.892,4598500.0,4110403.0000000005
2024-08-19,0.899,0.929,0.899,0.919,9104872.0,8351859.0
2024-08-20,0.921,0.921,0.903,0.907,1975800.0,1796578.0
2024-08-21,0.907,0.93,0.903,0.923,3224300.0,2969812.0
2024-08-22,0.922,0.922,0.91,0.914,2085300.0,1908569.0
2024-08-23,0.91,0.91,0.899,0.909,3356900.0,3030850.0
2024-08-26,0.914,0.919,0.898,0.908,2047709.0,1857206.0
2024-08-27,0.905,0.905,0.884,0.893,4927100.0,4391012.0
2024-08-28,0.897,0.9,0.876,0.881,5280200.0,4663642.0
2024-08-29,0.875,0.886,0.868,0.882,1440100.0,1264712.0
2024-08-30,0.884,0.884,0.865,0.872,6958000.0,6062748.0
2024-09-02,0.872,0.872,0.841,0.847,7936712.0,6730404.0
2024-09-03,0.85,0.85,0.837,0.838,2404900.0,2020429.0
2024-09-04,0.835,0.835,0.818,0.819,3669710.0,3017781.0
2024-09-05,0.819,0.824,0.814,0.821,2612800.0,2142635.0
2024-09-06,0.821,0.829,0.819,0.822,2488400.0,2048659.0
2024-09-09,0.817,0.82,0.795,0.801,2779023.0,2224909.0
2024-09-10,0.801,0.805,0.795,0.802,1318046.0,1054243.0
2024-09-11,0.801,0.812,0.798,0.812,6141746.0,4947472.0
2024-09-12,0.809,0.811,0.803,0.808,1006100.0,812716.0
2024-09-13,0.815,0.838,0.815,0.834,4957906.0,4120203.0000000005
2024-09-18,0.839,0.846,0.83,0.84,6431106.0,5402453.0
2024-09-19,0.839,0.848,0.817,0.848,8300200.0,6866103.0
2024-09-20,0.852,0.87,0.844,0.87,3175600.0,2737147.0
2024-09-23,0.875,0.884,0.871,0.88,3871406.0,3399572.0
2024-09-24,0.88,0.895,0.875,0.892,5124501.0,4542116.0
2024-09-25,0.893,0.925,0.893,0.904,10135900.0,9295409.0
2024-09-26,0.905,0.921,0.901,0.921,4331400.0,3943266.0
2024-09-27,0.923,0.938,0.912,0.937,9101781.0,8411976.0
2024-09-30,0.947,1.019,0.93,0.994,10665891.0,10287458.0
2024-10-08,1.093,1.093,0.9,0.978,11333231.0,11523174.0
2024-10-09,0.977,0.977,0.895,0.897,4881601.0,4500440.0
2024-10-10,0.898,0.939,0.897,0.924,4868007.0,4451221.0
2024-10-11,0.933,0.985,0.933,0.969,19238509.0,18611483.0
2024-10-14,0.966,0.966,0.899,0.951,15089210.999999998,14149669.0
2024-10-15,0.945,0.945,0.916,0.918,7119200.0,6571569.0
2024-10-16,0.917,0.947,0.917,0.947,7344500.0,6863035.0
2024-10-17,0.947,0.95,0.931,0.935,8092500.0,7609226.0
2024-10-18,0.94,0.968,0.94,0.96,9376401.0,8976927.0
2024-10-21,0.97,0.986,0.966,0.98,10219020.0,9976255.0
2024-10-22,0.978,0.983,0.962,0.976,4026600.0,3925663.0
2024-10-23,0.986,0.991,0.977,0.982,5058700.0,4972293.0
2024-10-24,0.97,0.978,0.95,0.959,4666400.0,4464745.0
2024-10-25,0.959,0.961,0.951,0.953,4250900.0,4059940.0
2024-10-28,0.953,0.956,0.948,0.955,2499807.0,2379721.0
2024-10-29,0.954,0.966,0.949,0.95,3570301.0,3408110.0
2024-10-30,0.953,0.967,0.945,0.953,4374101.0,4177004.0
2024-10-31,0.952,0.952,0.931,0.934,4156801.0,3889777.0
